kamar_mandi;kamar_tidur;Bangunan;Lahan (m�);harga;lokasi;title;;;;
1;2;;;Rp 890.000.000;Tanah Sareal Bogor;Dijual Rumah Bebas Banjir Harga All In Nego di Bukit Cimanggu City Siap KPR;;;;
3;6;;;Rp 4.200.000.000;Modernland Premier Park 2 Cikokol Tangerang;Rumah Asri Minimalis Modern Dekat Gerbang Tol Tangerang Harga All In Bisa KPR;;;;
2;2;;;Rp 650.000.000;Mustika Jaya Bekasi;Rumah Bergaya Kontemporer Strategis di Mustika Jaya Bekasi Harga All In Bisa KPR;;;;
1;2;;;Rp 1.080.000.000;Bojongsari Depok;Rumah Hook Luas Siap KPR di Perum Permata Mansion Harga All In Bebas Banjir;;;;
2;3;;;Rp 1.620.000.000;Jatisampurna Bekasi;Rumah Minimalis Modern Siap KPR di Citragrand Cibubur Harga All In;;;;
3;3;;;Rp 1.100.000.000;Bogor Barat - Kota Bogor;Rumah Asri Siap KPR di Sinbad Residence Bogor Harga All In Bebas Banjir;;;;
1;2;;;Rp 1.100.000.000;Jatisampurna Bekasi;Rumah Minimalis Strategis di Cibubur Residence Siap Huni Harga All In Bisa KPR;;;;
1;2;;;Rp 859.000.000;Bojongsari Depok;Rumah Seken Strategis di Bojongsari Depok Siap Huni Harga All In Bisa KPR; 4 Man;;;
2;3;;;Rp 1.800.000.000;Ciputat Tangerang Selatan;Dijual Rumah Strategis Dekat Gerbang Tol Ciputat Harga All In Bisa KPR;;;;
2;3;;;Rp 1.320.000.000;Sawangan Depok;Rumah Hook Siap Huni di Perum Cinangka Garden Hill Harga All In Bisa KPR;;;;
2;2;;;Rp 1.080.000.000;Pamulang Tangerang Selatan;Rumah Bergaya Townhouse Harga All In Dekat Pamulang Bebas Banjir Siap KPR;;;;
2;3;;;Rp 1.200.000.000;Margonda Depok;Rumah Minimalis Asri Harga All In Dekat Gerbang Tol Margonda Siap KPR;;;;
2;3;;;Rp 1.320.000.000;Pamulang Tangerang Selatan;Rumah Hook 2 Lantai Strategis Dekat Gerbang Tol Pamulang Harga All In Siap KPR;;;;
2;3;;;Rp 1.200.000.000;Komplek Kaisar 4 Ciputat Tangerang Selatan;Rumah Strategis Bebas Banjir Dekat Ciputat Tangsel Harga All In Bisa KPR;;;;
2;3;;;Rp 1.680.000.000;Bojongsari Depok;Dijual Rumah Halaman Luas Siap Huni Dekat Bojongsari Depok Harga All In Bisa KPR;;;;
1;3;;;Rp 1.720.000.000;Pancoran Mas Depok;Jual Rumah Strategis Bisa KPR Dekat Stasiun Depok Baru Harga All In Nego;;;;
1;2;;;Rp 690.000.000;Sawangan Depok;Rumah Strategis Bisa Nego Dekat Sawangan Harga All In Siap KPR;;;;
1;2;;;Rp 699.000.000;Cibinong Green Park Cilodong Depok;Rumah Bebas Banjir di Cibinong Green Park Harga All In DP Ringan Siap KPR;;;;
4;4;;;Rp 2.999.000.000;Cimanggis Depok;Rumah Minimalis Modern Luas Siap Huni di Permata Puri Laguna Depok Harga All In;;;;
2;3;;;Rp 1.725.000.000;Serpong Utara Tangerang Selatan;Rumah Minimalis Asri Strategis di Graha Raya Bintaro Harga All In Bisa KPR;;;;
2;2;;;Rp 1.749.000.000;Srengseng Sawah Jakarta Selatan;Dijual Rumah Jakarta Selatan;;;;
2;3;;;Rp 1.100.000.000;Bogor Barat - Kota Bogor;Rumah 2 Lantai di First Residence Cimanggu Bebas Banjir Harga All In Siap KPR;;;;
1;2;;;Rp 700.000.000;Tanah Sareal Bogor;Rumah Minimalis Strategis di Tanah Sareal Bogor Harga All In Nego Bisa KPR;;;;
2;3;;;Rp 874.000.000;Pedurenan Cimanggis Depok;Rumah 2 Lantai Depok 10 Menit Pintu Tol Cibubur DP Ringan Gratis Biaya;;;;
3;3;;;Rp 4.080.000.000;The Green Bellagio Bumi Serpong Damai Tangerang Selatan;Rumah Luas Strategis Siap Huni di The Green Bellagio BSD Harga All In Bisa KPR;;;;
1;3;;;Rp 780.000.000;Griya Melati Mas Cibinong Bogor;Rumah Minimalis Idaman Harga All In Dekat Stasiun KA Cibinong Siap Huni Bisa KPR;;;;
2;2;;;Rp 2.040.000.000;Limo Residence Cinere Depok;Rumah Strategis Bebas Banjir Dekat Cinere Depok Harga All In Nego Siap KPR;;;;
1;2;;;Rp 1.080.000.000;Beji Depok;Jual Rumah Minimalis Seken Strategis Dekat Stasiun Depok Harga All In Siap KPR;;;;
1;2;;;Rp 625.000.000;Bojongsari Depok;Jual Rumah Minimalis Seken Siap KPR di Felicity Madani Harga All In Nego;;;;
2;3;;;Rp 2.030.000.000;Graha Bunga Bintaro Ciledug Tangerang;Dijual Rumah Luas Harga All In Dekat Terminal Bus Ciledug Siap Huni Bisa KPR;;;;
2;3;;;Rp 1.020.000.000;Premier Savanna Vida Mustika Jaya Bekasi;Rumah Industrial Modern Siap Huni di Premier Savanna Vida Harga All In Bisa KPR;;;;
2;2;;;Rp 1.200.000.000;Pamulang Tangerang Selatan;Rumah Luas Bergaya Skandinavia di Pamulang Estate Harga All In Nego Bisa KPR;;;;
2;3;;;Rp 1.310.000.000;Ciledug Tangerang;Rumah Minimalis Strategis Dekat Ciledug Tangerang Harga All In Nego Bisa KPR;;;;
3;4;;;Rp 2.700.000.000;Ciputat Tangerang Selatan;Dijual Rumah Luas Strategis Siap KPR Dekat Stasiun Sudimara Harga Nego;;;;
1;2;;;Rp 960.000.000;Cikupa Tangerang;Rumah Bebas Banjir di Cluster Benevento Dekat Citra Raya Harga All In Siap KPR;;;;
2;4;;;Rp 1.100.000.000;Tamansari Puri Bali Bojongsari Depok;Rumah Luas Bebas Banjir Strategis di Bojongsari Depok Harga All In Siap KPR;;;;
2;4;;;Rp 1.440.000.000;Cimanggu Permai Bogor Barat - Kota Bogor;Rumah Siap Huni Bebas Banjir di Cimanggu Permai Harga All In Nego Bisa KPR;;;;
2;3;;;Rp 1.680.000.000;Villa Inti Persada Pamulang Tangerang Selatan;Rumah Minimalis Bebas Banjir di Villa Inti Persada Siap KPR Harga All In Nego;;;;
3;3;;;Rp 1.800.000.000;Panoramic Garden Sukmajaya Depok;Rumah Asri Unit Pojokan di Panoramic Garden Siap Huni Harga All In Bisa KPR;;;;
1;2;;;Rp 1.200.000.000;Bintaro Tangerang Selatan;Rumah Minimalis Modern Siap KPR di Green Serpong Bintaro Harga Bisa Nego;;;;
3;3;;;Rp 2.640.000.000;Serpong Tangerang Selatan;Jual Rumah Luas Strategis di Serpong Harga All In Bisa Nego Siap KPR;;;;
1;2;;;Rp 960.000.000;Pasar Kemis Tangerang;Rumah Idaman Bebas Banjir Siap Huni di Suvarna Sutera Harga All In Bisa KPR;;;;
2;3;;;Rp 1.100.000.000;Tanah Sareal Bogor;Rumah Strategis Siap KPR di First Residence Cimanggu Harga All In;;;;
4;4;;;Rp 3.500.000.000;BSB CITY SEMARANG BARAT Ngaliyan Semarang;JUAL CEPAT RUMAH BSB CITY MEWAH CLUSTER ELITE EKSKLUSIF NGALIYAN SEMARANG BARAT;;;;
3;3;;;Rp 2.550.000.000;Bukit Golf Riverside Cluster Orchid Cibubur Jakarta Timur;Rumah Strategis Siap Huni di Bukit Golf Riverside Harga All In Nego Bisa KPR;;;;
3;3;;;Rp 3.120.000.000;Bumi Serpong Damai Tangerang Selatan;Jual Rumah Luas Strategis The Eminent BSD Siap Huni Harga All In Bisa KPR;;;;
1;2;;;Rp 700.000.000;Sukamulya Cikupa Kabupaten Tangerang Cikupa Tangerang;Rumah Minimalis Harga All In Siap KPR di Bizhome Citra Raya;;;;
3;4;;;Rp 1.590.000.000;Grand Serpong 2 Ciputat Tangerang Selatan;Rumah Industrial Modern Strategis di Grand Serpong 2 Harga All In Bisa KPR;;;;
1;2;;;Rp 617.000.000;Jl. Raya Cibunar Cibunar Kec. Parung Panjang Kabupaten Bogor Jawa Barat 16360 Parung Panjang Bogor;Rumah Cluster Orchid 1 Lantai Dengan DP 0% dan Bebas Biaya KPR;;;;
3;3;;;Rp 1.560.000.000;Cibubur Jakarta Timur;Rumah Bebas Banjir di Cibubur Harga All In Nego Siap Huni Bisa KPR;;;;
2;2;;;Rp 1.080.000.000;Jalan Pendidikan Rawa Kalong Gunung Sindur Bogor;Rumah Bergaya Townhouse Siap Huni di Kab. Bogor Harga All In Nego Bisa KPR;;;;
3;4;;;Rp 4.320.000.000;Lebak Bulus Jakarta Selatan;Jual Rumah Idaman Luas 2 Lantai Dekat Stasiun MRT Lebak Bulus Siap Huni Bisa KPR;;;;
1;2;;;Rp 1.190.000.000;Cileungsi Bogor;Rumah Siap Huni di Perumahan Kota Wisata Cluster Vancouver Harga All In KPR;;;;
1;2;;;Rp 660.000.000;Griya Melati Mas Bogor;Rumah Strategis Dekat Stasiun KA Cibinong Bogor Harga All In DP Ringan Bisa KPR;;;;
1;2;;;Rp 640.000.000;Sawangan Depok;Rumah Bebas Banjir Siap Nego Dekat The Park Mall Sawangan Harga All In KPR;;;;
1;2;;;Rp 725.000.000;Gunung Sindur Bogor;Rumah Minimalis Siap Huni di Serpong Natura City Harga All In KPR;;;;
1;2;;;Rp 450.000.000;Cileungsi Bogor;Rumah Minimalis Harga All In Bisa Nego Dekat Cileungsi DP Ringan Siap KPR;;;;
1;2;;;Rp 1.080.000.000;Pamulang Tangerang Selatan;Rumah Minimalis Hook Strategis Dekat Pamulang Harga All In Nego Siap KPR;;;;
2;3;;;Rp 2.400.000.000;Limo Depok;Rumah Luas Asri Strategis di Griya Cinere Depok Harga All In Siap KPR Bisa Nego;;;;
2;3;;;Rp 1.200.000.000;Pancoran Mas Depok;Rumah Unit Pojok Harga All In Dekat Stasiun KA Depok Siap KPR;;;;
2;2;;;Rp 2.040.000.000;Limo Residence Sawangan Depok;Dijual Rumah 2 Lantai Idaman Dekat Terminal Sawangan Harga All In Nego Siap KPR;;;;
1;3;;;Rp 899.000.000;Sawangan Depok;Rumah Luas Bergaya Minimalis Siap Huni di Sawangan Harga All In Bisa KPR;;;;
3;3;;;Rp 1.350.000.000;The Akasia Terrace Bojongsari Depok;Rumah Luas Unit Pojokan di The Akasia Terrace Siap Huni Harga All In Bisa KPR;;;;
3;3;;;Rp 1.560.000.000;Jatisampurna Bekasi;Rumah Luas 2 Lantai Siap KPR di Perum Grand Mutiara Jatisampurna Harga All In;;;;
2;2;;;Rp 1.425.000.000;Cikokol Tangerang;Rumah Bebas Banjir Strategis Dekat Cikokol Siap Huni Harga All In Bisa KPR;;;;
1;2;;;Rp 570.000.000;Cileungsi Bogor;Rumah Minimalis di Limus Pratama Regency Siap Huni Harga All In Bisa KPR;;;;
2;4;;;Rp 1.560.000.000;Damara Village Bogor Utara - Kota Bogor;Rumah Industrial Asri Strategis di Damara Village Bogor Harga All In Siap KPR;;;;
4;3;;;Rp 780.000.000;Bojonggede Bogor;Rumah Seken Siap Huni di Perum Hankam Bogor Harga All In Nego Bisa KPR;;;;
3;3;;;Rp 950.000.000;Cluster Frambosa Mustika Jaya Bekasi;Rumah Hook 2 Lantai Bebas Banjir di Perum Vida Bekasi Harga All In Bisa KPR;;;;
4;4;;;Rp 2.640.000.000;Pomentia Residence Jagakarsa Jakarta Selatan;Rumah Minimalis Modern di Pomentia Residence Jagakarsa Harga All In Bisa KPR;;;;
1;2;;;Rp 960.000.000;Ciputat Tangerang Selatan;Rumah Minimalis Unit Pojokan Dekat Ciputat Bebas Banjir Harga All In Siap KPR;;;;
2;3;;;Rp 990.000.000;Pamulang Tangerang Selatan;Rumah Unit Pojokan Siap Huni di Villa Gardenia Tangsel Harga All In Bisa KPR;;;;
3;3;;;Rp 2.040.000.000;Margonda Depok;Jual Rumah Luas Bergaya Skandinavia Dekat Margonda Depok Harga All In Siap KPR;;;;
2;3;;;Rp 1.500.000.000;Fortune Essence Graha Raya Ciledug Tangerang;Rumah Minimalis Modern Siap Huni di Graha Raya Harga All In Bisa KPR;;;;
2;3;;;Rp 1.040.000.000;Vila Dago Tol Serpong Tangerang Selatan;Jual Nego Rumah Asri Siap Huni Bisa KPR Dekat Gerbang Tol Serpong Harga All In;;;;
2;3;;;Rp 1.060.000.000;Balaraja Tangerang;Rumah Siap Huni di Perum Talaga Bestari Dekat Tol Harga All In Bisa KPR;;;;
1;2;;;Rp 1.032.000.000;Ciawi Bogor;Rumah Siap Huni Strategis Dekat Ciawi Harga All In Nego Bisa KPR;;;;
3;3;;;Rp 1.660.000.000;Juanda Green Residence Cimanggis Depok;Rumah Bebas Banjir Strategis Dekat Grand Mall Cimanggis Harga All In Siap KPR;;;;
3;3;;;Rp 1.600.000.000;Jatisampurna Bekasi;Rumah Luas Harga All In KPR di Citra Grand Cibubur Bebas Banjir Bisa Nego;;;;
1;2;;;Rp 630.000.000;Citayam Depok;Rumah Minimalis Strategis Dekat Stasiun Citayam Harga All In Nego Siap KPR;;;;
1;2;;;Rp 875.000.000;Puri Asri Sawangan Bojongsari Depok;Rumah Hook Luas Harga All In KPR Dekat Bojongsari Depok Bisa Nego;;;;
1;2;;;Rp 660.000.000;Perumahan The Orchid Green Park Citayam Depok;Rumah DP Ringan Siap KPR Dekat Stasiun KA Citayam Harga All In Bebas Banjir;;;;
3;4;;;Rp 2.300.000.000;Komplek Dukuh Indah Ciracas Jakarta Timur;Dijual Rumah Strategis Siap KPR Dekat Ciracas Jaktim Harga All In Bisa Nego;;;;
2;3;;;Rp 1.400.000.000;Sawangan Depok;Rumah Hook Asri Harga All In KPR Dekat Sawangan Bebas Banjir Bisa Nego;;;;
4;4;;;Rp 2.500.000.000;Kramat Jati Jakarta Timur;Dijual Rumah Asri 2 Lantai Strategis di Kramat Jati Jakarta Timur Siap KPR;;;;
1;2;;;Rp 594.750.000;jl bangujiwo kasihan bantul Kasihan Bantul;Rumah Murah Bonus Mezzanine Di Kasihan Bantul;;;;
1;3;;;Rp 900.000.000;Perumahan Taman Jasmine Mas Bojongsari Depok;Jual Rumah Minimalis Siap Huni di Perum Taman Jasmine Mas Harga All In Bisa KPR;;;;
3;3;;;Rp 1.320.000.000;Limo Depok;Rumah 2 Lantai Idaman di Limo Depok Bebas Banjir Siap Huni Harga All In Bisa KPR;;;;
3;4;;;Rp 3.000.000.000;Alam Sutera Tangerang Selatan;Rumah Asri Akses Mudah Dekat Living World Alam Sutera Harga All In Siap KPR;;;;
3;3;;;Rp 2.220.000.000;Taman Holandia Jalan Den Haag Gading Serpong Tangerang;Jual Rumah Industrial Modern Siap KPR di Taman Holandia Tangerang Harga All In;;;;
2;2;;;Rp 998.000.000;Jatisampurna Bekasi;Rumah Minimalis Siap KPR di Lavender Residence Harga All In Bisa Nego;;;;
1;2;;;Rp 1.440.000.000;Bumi Serpong Damai Tangerang Selatan;Rumah Asri Strategis Dekat BSD City Harga All In KPR Siap Nego;;;;
1;2;;;Rp 859.000.000;Sawangan Depok;Rumah Idaman Siap Huni di Tamansari Puri Bali Bebas Banjir Harga All In Bisa KPR;;;;
2;3;;;Rp 1.560.000.000;Beji Depok;Rumah Minimalis Luas Harga All In di Perum Depok Mulya Siap Huni Bisa KPR;;;;
2;3;;;Rp 1.040.000.000;Pamulang Tangerang Selatan;Jual Cepat Rumah Asri Strategi Dekat Pamulang Siap Huni Harga All In Bisa KPR;;;;
1;2;;;Rp 900.000.000;Pamulang Tangerang Selatan;Rumah Ready Furnished Siap Huni Dekat Pamulang Harga All In Bisa KPR;;;;
2;5;;;Rp 1.140.000.000;Ciledug Tangerang;Rumah Minimalis Seken Siap KPR di Komplek Setneg Tangerang Harga All In;;;;
2;3;;;Rp 1.725.000.000;Bintaro Tangerang Selatan;Rumah Bebas Banjir di Bintaro Tangsel Siap Huni Harga All In Bisa KPR;;;;
3;3;;;Rp 2.760.000.000;Cipayung Jakarta Timur;Rumah Strategis Dekat Puskesmas Kelurahan Cipayung Harga All In Bisa KPR;;;;
2;3;;;Rp 2.030.000.000;Bintaro Tangerang Selatan;Rumah Strategis Siap KPR di Graha Bunga Bintaro Harga All In Bebas Banjir;;;;
1;2;;;Rp 850.000.000;Serpong Tangerang Selatan;Rumah Idaman Strategis di Natura Serpong Bebas Banjir Harga All In Bisa KPR;;;;
3;4;;;Rp 3.000.000.000;Alam Sutera Cluster Sutera Gardenia Serpong Utara Tangerang Selatan;Rumah Luas Strategis Siap KPR Dekat Gerbang Tol Jelupang Harga All In Bisa Nego;;;;
3;3;;;Rp 1.560.000.000;Pamulang Tangerang Selatan;Rumah Minimalis Asri di Vila Dago Tol Tangsel Siap Huni Harga All In Bisa KPR;;;;
2;2;;;Rp 1.860.000.000;Ciputat Tangerang Selatan;Rumah Industrial Modern Siap KPR di Urban Place Harga All In;;;;
3;4;;;Rp 2.600.000.000;Ciledug Tangerang;Rumah Minimalis Modern Strategis Dekat Ciledug Harga All In Nego Bisa KPR;;;;
2;3;;;Rp 1.680.000.000;Serpong Utara Tangerang Selatan;Rumah 2 Lantai Siap Huni di Fortune Terrace Graha Raya Harga All In Bisa KPR;;;;
3;3;;;Rp 1.320.000.000;Jalan Cilangkap Cibinong Bogor;Rumah Luas Strategis Siap Huni Dekat Stasiun Cibinong Harga All In Nego Bisa KPR;;;;
2;3;;;Rp 1.440.000.000;Bintaro Tangerang Selatan;Rumah Seken Strategis di Komplek Deplu Harga All In Nego Siap KPR;;;;
3;6;;;Rp 4.200.000.000;Modernland Premier Park 2 Pinang Tangerang;Rumah Cantik Luas di Modernland Premier Park Bebas Banjir Harga All In Siap KPR;;;;
2;4;;;Rp 1.440.000.000;Bojong Nangka Tangerang;Rumah 2 Lantai Bebas Banjir di Perum Dasana Indah Harga All In Siap KPR;;;;
4;3;;;Rp 4.200.000.000;Beji Depok;Rumah Strategis Bebas Banjir Dekat Stasiun KA Depok Harga All In Nego Siap KPR;;;;
2;3;;;Rp 1.100.000.000;Royal Park Residence Cluster Champions Mustika Jaya Bekasi;Jual Rumah Minimalis Siap Huni di Royal Park Residence Harga All In Bisa KPR;;;;
3;3;;;Rp 1.200.000.000;Sawangan Depok;Rumah Harga All In Bisa Nego Dekat Sawangan Siap KPR;;;;
3;3;;;Rp 1.320.000.000;Jalan Cilangkap Tapos Depok;Dijual Rumah Minimalis Asri Bebas Banjir di Tapos Depok Harga All In Siap KPR;;;;
2;2;;;Rp 1.680.000.000;Pinang Tangerang;Rumah Seken Minimalis Siap Huni di Buana Gardenia Harga All In Bisa KPR;;;;
1;2;;;Rp 936.000.000;Bojongsari Depok;Rumah Asri Idaman Siap KPR di Perum Tamansari Puri Bali Harga All In Bisa Nego;;;;
3;3;;;Rp 1.560.000.000;Cimanggis Depok;Rumah Strategis Siap KPR di Perum The Cozy Green Cibubur Mension Harga All In;;;;
1;2;;;Rp 810.000.000;Taman Sukahati Permai Bojong Gede Bogor;Rumah Seken Strategis Dekat Bojonggede Bogor Harga All In Nego Siap KPR;;;;
2;3;;;Rp 1.050.000.000;Serpong Tangerang Selatan;Rumah Strategis Dekat Gerbang Tol Serpong Harga All In Bisa Nego Siap KPR;;;;
2;3;;;Rp 1.440.000.000;Bogor Utara - Kota Bogor;Rumah Siap Huni Strategis di Cluster Green Valley Harga All In Nego Bisa KPR;;;;
2;3;;;Rp 1.500.000.000;Perumahan Matoa Hill Limo Depok;Rumah 2 Lantai Strategis Siap Huni di Perum Matoa Hill Harga All In Bisa KPR;;;;
1;2;;;Rp 660.000.000;Perumahan The Orchid Green Park Sawangan Depok;Rumah Minimalis Strategis di Perum The Orchid Green Park Harga All In Siap KPR;;;;
2;3;;;Rp 1.075.000.000;Serpong Tangerang Selatan;Dijual Rumah 2 Lantai Harga All In Nego di Serpong Siap Huni Bisa KPR;;;;
1;2;;;Rp 1.100.000.000;Cibubur Residence Cibubur Jakarta Timur;Rumah Idaman Bebas Banjir Dekat TSM Cibubur Harga All In Nego Siap KPR;;;;
2;3;;;Rp 1.100.000.000;Jatiasih Bekasi;Rumah Hook Luas di Royal Park Residence Harga All In Nego Siap KPR;;;;
3;3;;;Rp 1.800.000.000;Bintaro Tangerang Selatan;Jual Rumah Minimalis Modern Dekat Gerbang Tol Bintaro Harga All In Bisa KPR;;;;
3;4;;;Rp 2.040.000.000;Mulyaharja Bogor Selatan Kota Bogor Mulya Harja Bogor;Rumah Luas Siap Huni di Bogor Nirwana Residence Harga All In Bisa KPR;;;;
3;4;;;Rp 2.400.000.000;Cibodas Tangerang;Rumah 2 Lantai Siap KPR Dekat Cibodas Tangerang Harga All In;;;;
1;2;;;Rp 1.030.000.000;Ciputat Tangerang Selatan;Rumah Bebas Banjir di Pamulang Park Residence Harga All In Nego Bisa KPR;;;;
2;2;;;Rp 1.200.000.000;Jalan Puspitek Raya Cluster The Spring Pamulang Tangerang Selatan;Rumah Strategis Siap KPR di Cluster The Spring Tangsel Harga All In Bisa Nego;;;;
3;4;;;Rp 2.400.000.000;Cibinong Bogor;Rumah Strategis 2 Lantai Di Villa Bogor Indah Harga All In Nego Bisa KPR;;;;
1;2;;;Rp 699.000.000;Cibinong Green Park Cibinong Bogor;Rumah Minimalis Idaman Dekat Stasiun KA Cibinong Bogor Harga All In Bisa KPR;;;;
2;2;;;Rp 1.170.000.000;Cimuning Mustika jaya Kota Bekasi Tambun Selatan Bekasi;Rumah Minimalis Strategis Harga All In Dekat Grand Wisata Siap KPR;;;;
3;4;;;Rp 2.750.000.000;Bumi Serpong Damai Tangerang Selatan;Jual Rumah Luas Strategis Siap Huni di BSD Tangsel Harga All In Bisa Nego;;;;
3;3;;;Rp 1.500.000.000;Victoria Hills Residence Pancoran Mas Depok;Rumah 2 Lantai Siap Huni di Victoria Hills Residence Harga All In Nego Bisa KPR;;;;
1;2;;;Rp 960.000.000;Karawaci Tangerang;Rumah Minimalis Strategis Siap KPR di Karawaci Residence Harga All In Bisa Nego;;;;
2;3;;;Rp 925.000.000;Vila Dago Pamulang Pamulang Tangerang Selatan;Rumah Minimalis Siap KPR di Vila Dago Pamulang Harga All In Bisa Nego;;;;
4;4;;;Rp 2.640.000.000;Pomentia Residence Cinere Depok;Dijual Rumah Strategis Bebas Banjir Dekat Cinere Harga All In Nego Siap KPR;;;;
1;2;;;Rp 875.000.000;Sawangan Depok;Dijual Rumah Strategis di Puri Asri Sawangan Harga All In KPR Bisa Nego;;;;
2;3;;;Rp 1.560.000.000;Pahlawan Residence Bojongsari Depok;Rumah Idaman 2 Lantai Siap Huni Dekat Bojongsari Depok Harga All In Bisa Nego;;;;
2;2;;;Rp 1.140.000.000;Arya Townhouse Jatisampurna Bekasi;Rumah Asri Unit Pojokan di Arya Townhouse Bekasi Harga All In Nego Siap KPR;;;;
2;3;;;Rp 1.750.000.000;Jatiasih Bekasi;Rumah Bebas Banjir Strategis Dekat Jatiasih Bekasi Harga All In Nego Siap KPR;;;;
3;3;;;Rp 1.550.000.000;Cinere Depok;Rumah 2 Lantai Asri di Perumahan Newland Matoa Harga All In KPR Bisa Nego;;;;
2;3;;;Rp 1.050.000.000;Serpong Natura City Gunung Sindur Bogor;Rumah Asri Bebas Banjir di Serpong Natura Acacia Siap Huni Harga All In Bisa KPR;;;;
2;2;;;Rp 1.020.000.000;Perumahan Serpong Garden 2 Cisauk Tangerang;Rumah Minimalis Bebas Banjir di Perum Serpong Garden 2 Harga All In Siap KPR;;;;
1;3;;;Rp 900.000.000;Sawangan Depok;Rumah Seken Strategis Bebas Banjir Dekat The Park Sawangan Harga All In KPR;;;;
1;2;;;Rp 1.032.000.000;Kertamaya Bogor Selatan Kota Bogor Kertamaya Bogor;Rumah Idaman Minimalis Siap Huni di Rancamaya Golf Estate Harga All In Bisa KPR;;;;
2;2;;;Rp 1.680.000.000;Pondok Aren Tangerang;Rumah Minimalis Strategis di Buana Gardenia Bebas Banjir Harga All In Bisa KPR;;;;
2;3;;;Rp 1.475.000.000;Bintaro Tangerang Selatan;Rumah 2 Lantai Dekat Halte Busway Ciputat Harga All In Siap KPR;;;;
1;2;;;Rp 1.440.000.000;Bojongsari Depok;Rumah Asri Luas Siap KPR di Tamansari Puri Bali Harga All In Bebas Banjir;;;;
3;4;;;Rp 3.960.000.000;Pamulang Tangerang Selatan;Rumah Asri Luas Siap Huni di Perum Pamulang Permai Baru Harga All In Bisa KPR;;;;
1;2;;;Rp 960.000.000;Panongan Tangerang;Rumah Minimalis Bebas Banjir Siap Huni di Suvarna Sutera Harga All In Bisa KPR;;;;
5;3;;;Rp 1.275.000.000;Jatiasih Bekasi;Rumah 2 Lantai Bebas Banjir Dekat Jatiasih Bekasi Harga All In Bisa KPR;;;;
1;2;;;Rp 1.190.000.000;Cibubur Jakarta Timur;Jual Rumah Minimalis Strategis Dekat Cibubur Harga All In Nego Bisa KPR;;;;
2;2;;;Rp 1.680.000.000;Ciledug Tangerang;Rumah 2 Lantai Strategis Bebas Banjir Dekat Ciledug Harga All In Bisa KPR;;;;
2;3;;;Rp 1.680.000.000;Tajur Ciledug Tangerang;Rumah Seken Strategis di Graha Raya Dekat Perkantoran Harga All In Siap KPR;;;;
3;4;;;Rp 3.960.000.000;Pamulang Permai Baru Ciputat Tangerang Selatan;Rumah Idaman Strategis Dekat Ciputat Tangsel Bebas Banjir Harga All In Bisa KPR;;;;
3;4;;;Rp 4.320.000.000;Komplek Graha Hijau Riviera Ciputat Tangerang Selatan;Rumah Strategis 2 Lantai di Komplek Graha Hijau Riviera Harga All In Bisa KPR;;;;
3;3;;;Rp 1.560.000.000;Beji Depok;Rumah 2 Lantai Strategis di Grand Depok City Bebas Banjir Harga All In Siap KPR;;;;
2;3;;;Rp 1.680.000.000;Cileungsi Bogor;Rumah Asri Bebas Banjir Siap KPR di Cibubur Country Harga All In Nego Bisa Nego;;;;
3;3;;;Rp 3.180.000.000;Cempaka Townhouse Bintaro Tangerang Selatan;Rumah Luas Bergaya Industrial Dekat Bintaro Tangsel Harga All In Bisa KPR;;;;
1;2;;;Rp 900.000.000;Pengasinan Gunung Sindur Kabupaten Bogor Gunung Sindur Bogor;Rumah Minimalis Strategis Siap KPR di Serpong Natura City Harga All In;;;;
3;3;;;Rp 2.760.000.000;Ciracas Jakarta Timur;Rumah Seken Strategis Dekat Stasiun LRT Ciracas Harga All In Siap KPR;;;;
3;3;;;Rp 2.550.000.000;Bukit Golf Riverside Cluster Orchid Cimanggis Depok;Dijual Rumah Asri Bebas Banjir di Bukit Golf Riverside Harga All In Siap KPR;;;;
1;2;;;Rp 960.000.000;Pamulang Tangerang Selatan;Rumah Siap Huni di Pamulang Park Residence Harga All In Bisa KPR Ready Furniture;;;;
2;4;;;Rp 3.840.000.000;Ciputat Tangerang Selatan;Rumah Hook Unik Siap KPR di Villa Gunung Lestari Harga All In Bisa Nego;;;;
3;3;;;Rp 4.080.000.000;The Green Bellagio Serpong Tangerang Selatan;Rumah Bergaya Kontemporer di The Green Bellagio Serpong Harga All In Siap KPR;;;;
2;2;;;Rp 1.350.000.000;Cibubur Residence Cibubur Jakarta Timur;Rumah Strategis Siap KPR Dekat Plaza Mall Cibubur Harga All In Bisa Nego;;;;
1;2;;;Rp 699.000.000;Cipayung Depok;Rumah Unit Pojokan Siap KPR di Permata Depok Regency Harga All In Bisa Nego;;;;
2;2;;;Rp 1.300.000.000;Alam Sutera Tangerang Selatan;Rumah Minimalis Modern Strategis Dekat Alam Sutera Harga All In Siap KPR;;;;
3;3;;;Rp 2.490.000.000;Bumi Serpong Damai Tangerang Selatan;Rumah Luas Bebas Banjir di Cluster Pavilion Residence Harga All In Siap KPR;;;;
2;4;;;Rp 1.100.000.000;Sawangan Depok;Rumah Asri Gaya Bali di Tamansari Puri Bali Siap Huni Harga All In Bisa KPR;;;;
1;2;;;Rp 810.000.000;Cipayung Depok;Rumah Seken Terawat Siap KPR di Perum Depok Country Harga All In Bebas Banjir;;;;
