channel name;channel url;subscriber;language
@igry_prikolov;https://www.youtube.com/@igry_prikolov;498K ;russian
@Stepa_Stalker;https://www.youtube.com/@Stepa_Stalker;5,04K ;russian
@SofaGames;https://www.youtube.com/@SofaGames;5,13K ;russian
@KinoIgrVse;https://www.youtube.com/@KinoIgrVse;5,18K ;russian
@eugenesagaz;https://www.youtube.com/@eugenesagaz;5,25M ;russian
@bayanistov;https://www.youtube.com/@bayanistov;5,29K ;russian
@user-yz9lp6jl4m;https://www.youtube.com/@user-yz9lp6jl4m;5,38K ;russian
@nastolnye;https://www.youtube.com/@nastolnye;5,41K ;russian
@KIRASTRA-TV;https://www.youtube.com/@KIRASTRA-TV;5,41K ;russian
@babanyplay;https://www.youtube.com/@babanyplay;5,5K ;russian
@AnyKeySpb;https://www.youtube.com/@AnyKeySpb;5,62K ;russian
@Liar_Waha;https://www.youtube.com/@Liar_Waha;5,7K ;russian
@user-si9sv7rx9t;https://www.youtube.com/@user-si9sv7rx9t;5,92K ;russian
@user-dn7to8wp7o;https://www.youtube.com/@user-dn7to8wp7o;50,5K ;russian
@user-mobilnueigru;https://www.youtube.com/@user-mobilnueigru;517K ;russian
@saymon_tops;https://www.youtube.com/@saymon_tops;528K ;russian
@minsk2019;https://www.youtube.com/@minsk2019;53,4K ;russian
@easyapk819;https://www.youtube.com/@easyapk819;54,2K ;russian
@ditrih_tv;https://www.youtube.com/@ditrih_tv;543K ;russian
@Svoya_igra;https://www.youtube.com/@Svoya_igra;56,5K ;russian
@frostgames761;https://www.youtube.com/@frostgames761;563K ;russian
@HardGamesYT;https://www.youtube.com/@HardGamesYT;570K ;russian
@MasterPlayChannel;https://www.youtube.com/@MasterPlayChannel;570K ;russian
@JavaGamesHD;https://www.youtube.com/@JavaGamesHD;59,4K ;russian
@boardgamesvideo;https://www.youtube.com/@boardgamesvideo;59K ;russian
@urafilimonov;https://www.youtube.com/@urafilimonov;6,18K ;russian
@EriWorld3;https://www.youtube.com/@EriWorld3;6,19K ;russian
@zzexplor;https://www.youtube.com/@zzexplor;6,31K ;russian
@user-rj9mu6vj9k;https://www.youtube.com/@user-rj9mu6vj9k;6,71K ;russian
@DAHILPRONGR;https://www.youtube.com/@DAHILPRONGR;6,97K ;russian
@zhestyanka;https://www.youtube.com/@zhestyanka;608K ;russian
@DenX3m;https://www.youtube.com/@DenX3m;61,7K ;russian
