channel name;channel url;subscribers;language;;;;
@younglaegi;https://www.youtube.com/@younglaegi;278K ;korean;;;;
@bna_game;https://www.youtube.com/@bna_game;288K ;korean;;;;
@pokemoncard_kr;https://www.youtube.com/@pokemoncard_kr;29,1K ;korean;;;;
@user-hi5gw5hp8e;https://www.youtube.com/@user-hi5gw5hp8e;30,3K ;korean;;;;
@penguinmonster;https://www.youtube.com/@penguinmonster;305K ;korean;;;;
@RIKOGAME;https://www.youtube.com/@RIKOGAME;32,2K ;korean;;;;
@gameseya;https://www.youtube.com/@gameseya;32,5K ;korean;;;;
@koyeyu;https://www.youtube.com/@koyeyu;326K ;korean;;;;
@g2korea;https://www.youtube.com/@g2korea;33,2K ;korean;;;;
@ondaram;https://www.youtube.com/@ondaram;347K ;korean;;;;
@THISISGAMECOM;https://www.youtube.com/@THISISGAMECOM;35,8K ;korean;;;;
@malchap;https://www.youtube.com/@malchap;35K ;korean;;;;
@holit92;https://www.youtube.com/@holit92;362K ;korean;;;;
@user-de2ox2th8m;https://www.youtube.com/@user-de2ox2th8m;37,5K ;korean;;;;
@bigmingame;https://www.youtube.com/@bigmingame;371K ;korean;;;;
@jjgame1664;https://www.youtube.com/@jjgame1664;38,1K ;korean;;;;
@user-cj1tp5jg3g;https://www.youtube.com/@user-cj1tp5jg3g;38,6K ;korean;;;;
@FootStarHong9;https://www.youtube.com/@FootStarHong9;387K ;korean;;;;
@memolkim;https://www.youtube.com/@memolkim;387K ;korean;;;;
@gAmedayAtlanta;https://www.youtube.com/@gAmedayAtlanta;40K ;korean;;;;
@Sungdae12;https://www.youtube.com/@Sungdae12;44,6K ;korean;;;;
@poeasy;https://www.youtube.com/@poeasy;47,3K ;korean;;;;
@roajung;https://www.youtube.com/@roajung;48,7K ;korean;;;;
@AcroGameChannelkr;https://www.youtube.com/@AcroGameChannelkr;48K ;korean;;;;
@GamgirlWithGames;https://www.youtube.com/@GamgirlWithGames;5,18K ;korean;;;;
@leejang5827;https://www.youtube.com/@leejang5827;5,24K ;korean;;;;
@user-zp8qh8yu1s;https://www.youtube.com/@user-zp8qh8yu1s;5,35K ;korean;;;;
@wingboardgame;https://www.youtube.com/@wingboardgame;5,46K ;korean;;;;
@user-cq3cn3mz5e;https://www.youtube.com/@user-cq3cn3mz5e;5,54K ;korean;;;;
@SHORTLEGBIRD;https://www.youtube.com/@SHORTLEGBIRD;5,57K ;korean;;;;
@Holang;https://www.youtube.com/@Holang;5,71K ;korean;;;;
@alicehi;https://www.youtube.com/@alicehi;50,4K ;korean;;;;
@gamescoop;https://www.youtube.com/@gamescoop;50,5K ;korean;;;;
@MonkeyMagic;https://www.youtube.com/@MonkeyMagic;51,1K ;korean;;;;
@kiglegames_ko;https://www.youtube.com/@kiglegames_ko;512K ;korean;;;;
@SHIGAMECLUB;https://www.youtube.com/@SHIGAMECLUB;53,5K ;korean;;;;
@junsst412;https://www.youtube.com/@junsst412;557K ;korean;;;;
@Purin1005;https://www.youtube.com/@Purin1005;598K ;korean;;;;
@Hamboy92;https://www.youtube.com/@Hamboy92;6,06K ;korean;;;;
@myownchoiceVideoOST;https://www.youtube.com/@myownchoiceVideoOST;6,09K ;korean;;;;
@gamesuki;https://www.youtube.com/@gamesuki;6,21K ;korean;;;;
@Game_Test_Lab;https://www.youtube.com/@Game_Test_Lab;6,35K ;korean;;;;
@user-vx6fg2lp6j;https://www.youtube.com/@user-vx6fg2lp6j;6,4K ;korean;;;;
@kok_kok;https://www.youtube.com/@kok_kok;6,58K ;korean;;;;
@gamemotionmaster;https://www.youtube.com/@gamemotionmaster;6,64K ;korean;;;;
@BoardLive;https://www.youtube.com/@BoardLive;61,1K ;korean;;;;
@akgameanimations;https://www.youtube.com/@akgameanimations;617K ;korean;;;;
@aftvesports;https://www.youtube.com/@aftvesports;63,2K ;korean;;;;
@jylovelron;https://www.youtube.com/@jylovelron;63K ;korean;;;;
@GGAB-game-channel;https://www.youtube.com/@GGAB-game-channel;68,4K ;korean;;;;
@malefox95;https://www.youtube.com/@malefox95;7,02K ;korean;;;;
@user-eh9vv3vk6t;https://www.youtube.com/@user-eh9vv3vk6t;7,06K ;korean;;;;
@Kkoogit;https://www.youtube.com/@Kkoogit;7,08K ;korean;;;;
@yopig;https://www.youtube.com/@yopig;7,08K ;korean;;;;
@GAMEDALGONA;https://www.youtube.com/@GAMEDALGONA;7,13K ;korean;;;;
@antongame;https://www.youtube.com/@antongame;7,13K ;korean;;;;
@hsyt0226;https://www.youtube.com/@hsyt0226;7,25K ;korean;;;;
@HodokingGame;https://www.youtube.com/@HodokingGame;7,32K ;korean;;;;
@user-sd4ud4dh6q;https://www.youtube.com/@user-sd4ud4dh6q;7,42K ;korean;;;;
@DDUZZI;https://www.youtube.com/@DDUZZI;7,91K ;korean;;;;
@bigbygamecolor;https://www.youtube.com/@bigbygamecolor;7,91K ;korean;;;;
@husukhee;https://www.youtube.com/@husukhee;7,97K ;korean;;;;
@hogamtv;https://www.youtube.com/@hogamtv;70,4K ;korean;;;;
@funhae;https://www.youtube.com/@funhae;71,4K ;korean;;;;
@kradventurer;https://www.youtube.com/@kradventurer;71,6K ;korean;;;;
@user-rw2nh2qh6e;https://www.youtube.com/@user-rw2nh2qh6e;73,1K ;korean;;;;
@HoneyPotBear;https://www.youtube.com/@HoneyPotBear;75K ;korean;;;;
@lol-tam;https://www.youtube.com/@lol-tam;76K ;korean;;;;
@KORYSU24;https://www.youtube.com/@KORYSU24;79,1K ;korean;;;;
@alucardFX;https://www.youtube.com/@alucardFX;8,15K ;korean;;;;
@rhehr0110;https://www.youtube.com/@rhehr0110;8,21K ;korean;;;;
@kukinews_game;https://www.youtube.com/@kukinews_game;8,24K ;korean;;;;
@gametogether;https://www.youtube.com/@gametogether;8,47K ;korean;;;;
@qoatjstod;https://www.youtube.com/@qoatjstod;8,54K ;korean;;;;
@hyojae_game;https://www.youtube.com/@hyojae_game;8,62K ;korean;;;;
@Choi_Manchul_FULL;https://www.youtube.com/@Choi_Manchul_FULL;8,73K ;korean;;;;
@HamsDDatG;https://www.youtube.com/@HamsDDatG;8,87K ;korean;;;;
