channel name;channel url;subsscribers;language
@dotabataneru;https://www.youtube.com/@dotabataneru;6,18K ;japanese
@RETROGAME77;https://www.youtube.com/@RETROGAME77;6,09K ;japanese
@sarah-game;https://www.youtube.com/@sarah-game;6,03K ;japanese
@such-game;https://www.youtube.com/@such-game;6,02K ;japanese
@-ch-qx5lh;https://www.youtube.com/@-ch-qx5lh;59,8K ;japanese
@user-dl8mo5wk3i;https://www.youtube.com/@user-dl8mo5wk3i;58,8K ;japanese
@yukkurigametest;https://www.youtube.com/@yukkurigametest;58,8K ;japanese
@sora_sakurai_jp;https://www.youtube.com/@sora_sakurai_jp;574K ;japanese
@user-ds5xf5oj3h;https://www.youtube.com/@user-ds5xf5oj3h;57,3K ;japanese
@920029kun;https://www.youtube.com/@920029kun;57,3K ;japanese
@Antnony_GAME;https://www.youtube.com/@Antnony_GAME;56K ;japanese
@iq5977;https://www.youtube.com/@iq5977;56K ;japanese
@anijyagame;https://www.youtube.com/@anijyagame;562K ;japanese
@maruhigame;https://www.youtube.com/@maruhigame;562K ;japanese
@GF_Saihate;https://www.youtube.com/@GF_Saihate;55,2K ;japanese
@rairaCH;https://www.youtube.com/@rairaCH;54K ;japanese
@gatchmanV666;https://www.youtube.com/@gatchmanV666;540K ;japanese
@tomagame7373;https://www.youtube.com/@tomagame7373;537K ;japanese
@user-xr2zv9qk5w;https://www.youtube.com/@user-xr2zv9qk5w;532K ;japanese
@user-dt6bk2dr6o;https://www.youtube.com/@user-dt6bk2dr6o;52K ;japanese
@DisneyGamesJP;https://www.youtube.com/@DisneyGamesJP;52,2K ;japanese
@NinNinGameplay;https://www.youtube.com/@NinNinGameplay;52,1K ;japanese
@tamachan222;https://www.youtube.com/@tamachan222;512K ;japanese
@user-mp1hr3ys9p;https://www.youtube.com/@user-mp1hr3ys9p;51,4K ;japanese
@dolightMishiyuGames;https://www.youtube.com/@dolightMishiyuGames;51,3K ;japanese
@keijichgame;https://www.youtube.com/@keijichgame;51,2K ;japanese
@gamescoop;https://www.youtube.com/@gamescoop;50,5K ;japanese
@user-jd2lv8gx4v;https://www.youtube.com/@user-jd2lv8gx4v;50,3K ;japanese
@taison_ch;https://www.youtube.com/@taison_ch;5,8K ;japanese
@user-px8it4eu6n;https://www.youtube.com/@user-px8it4eu6n;5,89K ;japanese
@TantoGame;https://www.youtube.com/@TantoGame;5,75K ;japanese
@user-hv2kc8do1h;https://www.youtube.com/@user-hv2kc8do1h;5,72K ;japanese
@succhan-game;https://www.youtube.com/@succhan-game;5,6K ;japanese
@shousei_games;https://www.youtube.com/@shousei_games;5,5K ;japanese
@TozukuGames;https://www.youtube.com/@TozukuGames;5,49K ;japanese
@LetsGameItOut;https://www.youtube.com/@LetsGameItOut;5,36M ;japanese
@BIGGAME2nd;https://www.youtube.com/@BIGGAME2nd;5,34K ;japanese
@nyaji;https://www.youtube.com/@nyaji;5,34K ;japanese
@pinpi777;https://www.youtube.com/@pinpi777;5,29K ;japanese
@user-fe8dx5cl1b;https://www.youtube.com/@user-fe8dx5cl1b;5,25K ;japanese
@user-go6td1qp5b;https://www.youtube.com/@user-go6td1qp5b;5,25K ;japanese
@imoko_mochicoro;https://www.youtube.com/@imoko_mochicoro;5,23K ;japanese
@user-qw9sk6jf2x;https://www.youtube.com/@user-qw9sk6jf2x;5,23K ;japanese
@junandyukkuri;https://www.youtube.com/@junandyukkuri;5,23K ;japanese
@konan-GAME;https://www.youtube.com/@konan-GAME;5,13K ;japanese
@user-sn5co8dd2r;https://www.youtube.com/@user-sn5co8dd2r;5,11K ;japanese
@user-lf1co7bk8u;https://www.youtube.com/@user-lf1co7bk8u;49K ;japanese
@nachitemi;https://www.youtube.com/@nachitemi;499K ;japanese
@imohan;https://www.youtube.com/@imohan;49,3K ;japanese
@HelloGoodGame;https://www.youtube.com/@HelloGoodGame;49,1K ;japanese
@okopuregames;https://www.youtube.com/@okopuregames;48,3K ;japanese
@mkgamech;https://www.youtube.com/@mkgamech;477K ;japanese
@krotosanaya;https://www.youtube.com/@krotosanaya;47,5K ;japanese
@MAZETA;https://www.youtube.com/@MAZETA;461K ;japanese
@takkarubi_retrogame_yukkuri;https://www.youtube.com/@takkarubi_retrogame_yukkuri;46,8K ;japanese
@Iwashi_bibili;https://www.youtube.com/@Iwashi_bibili;46,8K ;japanese
@gutyaVR315;https://www.youtube.com/@gutyaVR315;46,3K ;japanese
@ONEPIECE-mt6ui;https://www.youtube.com/@ONEPIECE-mt6ui;46,1K ;japanese
@fieldsfood;https://www.youtube.com/@fieldsfood;453K ;japanese
@yannogameCH;https://www.youtube.com/@yannogameCH;45,9K ;japanese
@naitogamechannel638;https://www.youtube.com/@naitogamechannel638;45,9K ;japanese
@jamojamgaming;https://www.youtube.com/@jamojamgaming;443K ;japanese
@user-xs6wt3vu1n;https://www.youtube.com/@user-xs6wt3vu1n;440K ;japanese
@shelfall_game;https://www.youtube.com/@shelfall_game;44,8K ;japanese
@user-bw2mp7ji2i;https://www.youtube.com/@user-bw2mp7ji2i;44,6K ;japanese
@bgclub;https://www.youtube.com/@bgclub;44,6K ;japanese
@user-ql3ce4un6x;https://www.youtube.com/@user-ql3ce4un6x;43,8K ;japanese
@game_mask;https://www.youtube.com/@game_mask;43,8K ;japanese
@user-ri3nx6ro2q;https://www.youtube.com/@user-ri3nx6ro2q;43,3K ;japanese
@misutogameTV;https://www.youtube.com/@misutogameTV;43,3K ;japanese
@kokkungame;https://www.youtube.com/@kokkungame;43,1K ;japanese
@Professor2SK;https://www.youtube.com/@Professor2SK;42K ;japanese
@tomato_chan_jp2;https://www.youtube.com/@tomato_chan_jp2;42,8K ;japanese
@shuyann;https://www.youtube.com/@shuyann;42,6K ;japanese
@bakyunBP;https://www.youtube.com/@bakyunBP;41,6K ;japanese
@user-we3cd4ii8q;https://www.youtube.com/@user-we3cd4ii8q;41,4K ;japanese
@TAICHI_ch;https://www.youtube.com/@TAICHI_ch;41,2K ;japanese
@aoigame-ch;https://www.youtube.com/@aoigame-ch;40K ;japanese
@natsume_game;https://www.youtube.com/@natsume_game;402K ;japanese
@marukaturetrogames;https://www.youtube.com/@marukaturetrogames;40,1K ;japanese
@nakaido;https://www.youtube.com/@nakaido;385K ;japanese
