channel name;channel url;subscriber;language
@PawanDaymaGaming;https://www.youtube.com/@PawanDaymaGaming;175K;hindi
@MASTIZONEGAMING;https://www.youtube.com/@MASTIZONEGAMING;177K;hindi
@patilgaming5797;https://www.youtube.com/@patilgaming5797;179K;hindi
@P9GAMINGYT;https://www.youtube.com/@P9GAMINGYT;18,4K;hindi
@DPGamingg;https://www.youtube.com/@DPGamingg;180K;hindi
@jeet_gaming;https://www.youtube.com/@jeet_gaming;180K;hindi
@samikshagaming;https://www.youtube.com/@samikshagaming;184K;hindi
@LoFARGamiing;https://www.youtube.com/@LoFARGamiing;185K;hindi
@CrossbonesGaming;https://www.youtube.com/@CrossbonesGaming;185K;hindi
@Ecojigaming;https://www.youtube.com/@Ecojigaming;185K;hindi
@DTGamingYT;https://www.youtube.com/@DTGamingYT;189K;hindi
@SanjitGamingYT;https://www.youtube.com/@SanjitGamingYT;19,6K;hindi
@SiddhaGaming;https://www.youtube.com/@SiddhaGaming;198K;hindi
@MarvelRowdy;https://www.youtube.com/@MarvelRowdy;198K;hindi
@KrontenGaming;https://www.youtube.com/@KrontenGaming;2,05M ;hindi
@BindassLaila;https://www.youtube.com/@BindassLaila;2,07M ;hindi
@alphagaming5951;https://www.youtube.com/@alphagaming5951;2,09M ;hindi
@ATHENA0829;https://www.youtube.com/@ATHENA0829;2,28M ;hindi
@GAMINGWITHRAAHIM;https://www.youtube.com/@GAMINGWITHRAAHIM;2,29M ;hindi
@nakabposhgaming719;https://www.youtube.com/@nakabposhgaming719;2,44K;hindi
@HiteshKSHindiGaming;https://www.youtube.com/@HiteshKSHindiGaming;2,45M ;hindi
@binzaidfreefire;https://www.youtube.com/@binzaidfreefire;2,45M ;hindi
@gamingfactOfficialpage;https://www.youtube.com/@gamingfactOfficialpage;2,5M ;hindi
@JayHindiGaming;https://www.youtube.com/@JayHindiGaming;2,65M ;hindi
@GameDefinition;https://www.youtube.com/@GameDefinition;2,72M ;hindi
@JONTYGAMING;https://www.youtube.com/@JONTYGAMING;2,73M ;hindi
@SILENTGIRLGAMING3M;https://www.youtube.com/@SILENTGIRLGAMING3M;2,87M ;hindi
@crabbygaming_00;https://www.youtube.com/@crabbygaming_00;200K;hindi
@GamingEra50;https://www.youtube.com/@GamingEra50;203K;hindi
@BlackShoutGaming;https://www.youtube.com/@BlackShoutGaming;206K;hindi
@BestYtGaming;https://www.youtube.com/@BestYtGaming;209K;hindi
@ASGamingsahil;https://www.youtube.com/@ASGamingsahil;20M ;hindi
@RaunakGaming;https://www.youtube.com/@RaunakGaming;21,2K;hindi
@Ankitlive;https://www.youtube.com/@Ankitlive;21,3K;hindi
@SHYAMGAMING024;https://www.youtube.com/@SHYAMGAMING024;21,9K;hindi
@PATELGAMING316;https://www.youtube.com/@PATELGAMING316;214K;hindi
@LAKSHYA_GAMING_;https://www.youtube.com/@LAKSHYA_GAMING_;218K;hindi
@dildargamingofficial;https://www.youtube.com/@dildargamingofficial;22,1K;hindi
@AdilGamingOfficial;https://www.youtube.com/@AdilGamingOfficial;226K;hindi
@MayurGamingClips;https://www.youtube.com/@MayurGamingClips;226K;hindi
@GamingWithDemon;https://www.youtube.com/@GamingWithDemon;231K;hindi
@GamingWithModi;https://www.youtube.com/@GamingWithModi;235K;hindi
@indiatodaygaming;https://www.youtube.com/@indiatodaygaming;236K;hindi
@NavritGamingExtra8;https://www.youtube.com/@NavritGamingExtra8;238K;hindi
@KareenaGamingYT;https://www.youtube.com/@KareenaGamingYT;24,3K;hindi
@makingthegaming;https://www.youtube.com/@makingthegaming;24,3K;hindi
@Raftaargaming1;https://www.youtube.com/@Raftaargaming1;24,8K;hindi
@captengamingyt;https://www.youtube.com/@captengamingyt;242K;hindi
@POTTERGAMING;https://www.youtube.com/@POTTERGAMING;248K;hindi
