channel name;channel url;subscriber;language
@AimHsu;https://www.youtube.com/@AimHsu;8,74K ;chinese
@AndyGamesTW;https://www.youtube.com/@AndyGamesTW;83,4K ;chinese
@WuYaWanYouXI;https://www.youtube.com/@WuYaWanYouXI;87,5K ;chinese
@Tenwong_Games;https://www.youtube.com/@Tenwong_Games;88,5K ;chinese
@user-re2mw6ki4t;https://www.youtube.com/@user-re2mw6ki4t;88,7K ;chinese
@topgame518;https://www.youtube.com/@topgame518;9,22K ;chinese
@leonggamesworld5547;https://www.youtube.com/@leonggamesworld5547;9,69K ;chinese
@user-vz2zm8iy2p;https://www.youtube.com/@user-vz2zm8iy2p;9,98K ;chinese
@user-uy3co5dk5z;https://www.youtube.com/@user-uy3co5dk5z;92,3K ;chinese
@river8597;https://www.youtube.com/@river8597;95,4K ;chinese
